Job Id,Experience,Qualifications,Salary Range,location,Country,latitude,longitude,Work Type,Company Size,Job Posting Date,Preference,Contact Person,Contact,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Company Profile
480293138447585,5 to 12 Years,BA,$61K-$119K,Bratislava,Slovak Republic,48.669,19.699,Temporary,15301,2022-04-24,Male,Dawn Reynolds,(207)227-8311,Procurement Manager,Procurement Analyst,Stack Overflow Jobs,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}",Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen,Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting.,HSBC (Hongkong and Shanghai Banking Corporation),"{""Sector"":""Banking"",""Industry"":""Banking"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.hsbc.com"",""Ticker"":""HSBC"",""CEO"":""Noel Quinn""}"
2611015777085466,4 to 12 Years,BA,$57K-$85K,Paramaribo,Suriname,3.9193,-56.0278,Temporary,71526,2023-06-06,Both,Brian Moore,513-632-5799,Account Executive,Sales Account Executive,Snagajob,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}",Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Identify and pursue sales opportunities with new and existing clients. Build and maintain client relationships. Meet or exceed sales targets and quotas.,Insurance Australia Group (IAG),"{""Sector"":""Insurance"",""Industry"":""Insurance"",""City"":""Sydney"",""State"":""NSW"",""Zip"":""2000"",""Website"":""https://www.iag.com.au/"",""Ticker"":""IAG"",""CEO"":""Nick Hawkins""}"
1682189041492623,2 to 9 Years,PhD,$58K-$98K,Nassau,"Bahamas, The",25.0343,-77.3963,Temporary,87202,2022-04-19,Both,Eric Duran,(359)813-5306,Graphic Designer,UI/UX Designer,Snagajob,"UI/UX Designers focus on creating user-friendly and visually appealing interfaces for digital products. They conduct user research, design wireframes and prototypes, and collaborate with development teams to ensure a seamless and enjoyable user experience.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}","User interface (UI) design User experience (UX) design Wireframing and prototyping tools (e.g., Sketch, Figma) Usability testing Information architecture Interaction design Mobile and responsive design",Focus on user interface (UI) and user experience (UX) design for websites and applications to enhance user engagement. Conduct user research and usability testing. Collaborate with developers to implement designs.,Kinder Morgan,"{""Sector"":""Energy"",""Industry"":""Pipelines"",""City"":""Houston"",""State"":""Texas"",""Zip"":""77002"",""Website"":""www.kindermorgan.com"",""Ticker"":""KMI"",""CEO"":""Steven J. Kean""}"
482054746287697,0 to 11 Years,PhD,$58K-$86K,Addis Ababa,Ethiopia,9.145,40.4897,Contract,32863,2022-10-13,Female,David Mcpherson,(379)476-1701x71400,Paralegal,Real Estate Paralegal,Jobs2Careers,"Assist in real estate transactions, including title searches, closings, and contract preparation.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Real estate transactions Title searches Closing processes Deed preparation Contract review Communication with real estate professionals Attention to detail Real estate terminology Technology proficiency Legal software proficiency Legal research skills,"Specialize in real estate transactions, including title searches, closings, and document preparation. Research property records and zoning regulations. Coordinate real estate transactions.",United Technologies Corporation,"{""Sector"":""Aerospace/Building Systems"",""Industry"":""Aerospace and Defense"",""City"":""Farmington"",""State"":""CT"",""Zip"":""6032"",""Website"":""https://www.utc.com/"",""Ticker"":""UTX"",""CEO"":""N/A""}"
78558602635986,1 to 15 Years,M.Com,$64K-$98K,Asmara,Eritrea,15.1794,39.7823,Part-Time,131351,2023-05-11,Both,James Diaz,3199509639,UX/UI Designer,User Experience Designer,Jobs2Careers,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",Design and improve user experiences (UX) by creating intuitive and user-friendly interfaces for websites and applications. Conduct user research and usability testing. Collaborate with stakeholders to gather and incorporate feedback.,Infosys,"{""Sector"":""Information Technology"",""Industry"":""Information Technology and Services"",""City"":""Bengaluru"",""State"":""Karnataka"",""Zip"":""560100"",""Website"":""www.infosys.com"",""Ticker"":""INFY"",""CEO"":""Salil Parekh""}"
18546437476934,5 to 13 Years,M.Tech,$64K-$86K,Manama,Bahrain,26.0667,50.5577,Contract,50052,2023-01-27,Male,Patricia Moore,+1-952-646-3115,UI Developer,Front-End Developer,The Muse,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}","Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility","Develop and maintain user interfaces for websites and web applications. Write clean and efficient HTML, CSS, and JavaScript code. Collaborate with UX designers to ensure a seamless user experience.",Otis Worldwide,"{""Sector"":""Elevators & Escalators"",""Industry"":""Industrial Machinery"",""City"":""Farmington"",""State"":""Connecticut"",""Zip"":""6032"",""Website"":""www.otis.com"",""Ticker"":""OTIS"",""CEO"":""Judith F. Marks""}"
25492121864742,1 to 13 Years,PhD,$64K-$126K,Palikir,"Micronesia, Fed. Sts.",7.4256,150.5508,Part-Time,107790,2022-11-09,Female,Amanda Carroll,001-386-708-3536,Customer Service Manager,Service Quality Assurance Manager,Dice,"Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}",Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis,Ensure service quality and consistency by defining and implementing QA standards and processes. Conduct regular quality audits and provide feedback to the team. Identify areas for improvement and training.,Thermo Fisher Scientific,"{""Sector"":""Healthcare"",""Industry"":""Scientific, Photographic and Control Equipment"",""City"":""Waltham"",""State"":""Massachusetts"",""Zip"":""2451"",""Website"":""www.thermofisher.com"",""Ticker"":""TMO"",""CEO"":""Marc N. Casper""}"
2515311218173562,4 to 14 Years,M.Com,$59K-$92K,Philipsburg,Sint Maarten (Dutch part),18.0425,-63.0548,Full-Time,54225,2022-04-23,Both,Alison Ramirez,397-299-0216x746,Network Administrator,Network Security Analyst,SimplyHired,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,"Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures.",Divi's Laboratories,"{""Sector"":""Pharmaceuticals"",""Industry"":""Pharmaceuticals"",""City"":""Hyderabad"",""State"":""Telangana"",""Zip"":""500090"",""Website"":""https://www.divislabs.com/"",""Ticker"":""DIVISLAB"",""CEO"":""Murali K. Divi""}"
118091478953608,4 to 9 Years,BCA,$61K-$105K,Paris,France,46.603354,1.888334,Full-Time,71495,2023-04-18,Both,Maria Finley,001-675-549-0361x91319,Research Analyst,Market Research Analyst,Jobs2Careers,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail","Conduct market research to gather data on consumer behavior, market trends, and competitive analysis. Analyze research findings and generate actionable insights. Prepare research reports and presentations.",Cholamandalam Investment and Finance Company,"{""Sector"":""Financial Services"",""Industry"":""Financial Services"",""City"":""Chennai"",""State"":""Tamil Nadu"",""Zip"":""600 034"",""Website"":""www.cholamandalam.com"",""Ticker"":""CHOLAFIN"",""CEO"":""Arulselvan D.""}"
63553248703051,5 to 12 Years,MBA,$58K-$110K,Bucharest,Romania,45.9432,24.9668,Contract,43903,2021-10-21,Male,Vanessa Lucas,364-609-3906x3385,Marketing Director,Digital Marketing Director,Dice,"Digital Marketing Directors lead digital marketing efforts. They develop and execute digital strategies, oversee campaigns, and measure performance to achieve marketing goals.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}",Digital marketing strategy Marketing analytics Team leadership Content marketing SEO and SEM proficiency,"Develop and oversee digital marketing strategies, including SEO, SEM, and social media campaigns. Analyze digital marketing performance metrics. Manage digital marketing budgets.",Domino's Pizza Group,"{""Sector"":""Food and Beverage"",""Industry"":""Restaurants"",""City"":""Milton Keynes"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.dominosgroup.co.uk"",""Ticker"":""DOM.L"",""CEO"":""Dominic Paul""}"
